label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
1,1.0,1.0,12.0,12.0,12.0,12.0,11.0,9.0,159.205705,22.534048,9.497258,1.396154,0.216645,0.071212,0.024072,0.01003,0.516888,0.094281,1.0
-1,1.0,1.0,35.0,35.0,35.0,33.0,30.0,24.0,34.068953,20.251396,5.291538,0.326808,0.067194,0.0,0.0,0.0,0.536133,0.131334,0.0
-1,1.0,1.0,14.0,14.0,14.0,13.0,10.0,9.0,110.695427,44.602568,7.192933,0.164669,0.0,0.0,0.0,0.0,0.5606,0.101889,0.0
-1,1.0,1.0,57.0,56.0,54.0,49.0,47.0,34.0,61.390836,29.776641,6.19829,0.424877,0.009203,0.0,0.0,0.0,0.554045,0.110437,0.0
1,1.0,1.0,6.0,6.0,6.0,5.0,5.0,5.0,256.299365,74.028689,34.473861,3.261167,0.006204,0.0,0.0,0.0,0.51087,0.102364,1.0
-1,1.0,1.0,16.0,15.0,15.0,14.0,13.0,9.0,63.916326,32.425614,2.854533,0.070338,0.002931,0.001954,0.001954,0.001954,0.527709,0.122114,0.0
-1,1.0,1.0,48.0,48.0,48.0,45.0,44.0,37.0,57.996712,33.44491,18.062236,7.247845,2.499684,0.50707,0.058926,0.0,0.548973,0.088388,0.0
-1,1.0,1.0,55.0,54.0,52.0,49.0,46.0,37.0,49.592107,21.022808,10.01444,2.734836,0.510769,0.038346,0.0,0.0,0.480885,0.095098,0.0
1,1.0,1.0,37.0,35.0,30.0,19.0,17.0,10.0,24.503211,10.713234,2.160861,0.358074,0.195595,0.061059,0.008279,0.00207,0.531819,0.109699,1.0
1,1.0,1.0,16.0,16.0,16.0,15.0,12.0,10.0,213.445242,40.048163,19.069685,2.602162,0.387233,0.006082,0.0,0.0,0.475218,0.115562,0.0
1,1.0,1.0,41.0,39.0,35.0,32.0,25.0,19.0,131.124105,49.076656,32.095263,23.236782,19.666215,0.172654,0.008173,0.002043,0.516065,0.098076,1.0
1,1.0,1.0,75.0,69.0,65.0,58.0,50.0,33.0,35.255608,27.110295,14.737629,5.879959,4.293759,0.722921,0.147905,0.021129,0.529568,0.150923,0.0
-1,1.0,1.0,41.0,40.0,39.0,39.0,37.0,28.0,42.769066,15.489371,2.130502,0.026245,0.0,0.0,0.0,0.0,0.503875,0.12042,0.0
1,1.0,1.0,38.0,38.0,38.0,35.0,33.0,26.0,14.20962,5.807533,0.370426,0.003139,0.0,0.0,0.0,0.0,0.518991,0.138125,0.0
1,1.0,1.0,77.0,72.0,71.0,65.0,56.0,45.0,17.806279,8.705123,3.922389,0.010622,0.0,0.0,0.0,0.0,0.508897,0.110768,0.0
1,1.0,1.0,61.0,60.0,59.0,57.0,54.0,39.0,46.781501,22.067525,3.293158,0.293541,0.108549,0.001529,0.0,0.0,0.507493,0.099376,0.0
1,1.0,1.0,19.0,19.0,16.0,16.0,15.0,11.0,16.862198,3.681121,0.216653,0.019876,0.003975,0.003975,0.003975,0.003975,0.555834,0.086463,1.0
1,1.0,0.0,53.0,51.0,51.0,50.0,46.0,38.0,13.222005,4.772918,2.385696,0.735234,0.041185,0.0,0.0,0.0,0.514705,0.135759,0.0
-1,1.0,1.0,24.0,23.0,23.0,20.0,20.0,19.0,11.276135,4.763248,0.150144,0.0,0.0,0.0,0.0,0.0,0.511507,0.122567,1.0
-1,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,78.557051,20.402173,5.151197,0.346308,0.034114,0.0,0.0,0.0,0.506806,0.114747,1.0
1,1.0,1.0,36.0,35.0,34.0,33.0,31.0,23.0,5.519072,0.460177,0.073141,0.0,0.0,0.0,0.0,0.0,0.498459,0.115806,0.0
1,1.0,0.0,56.0,51.0,47.0,33.0,28.0,18.0,15.213796,7.694015,0.084804,0.0,0.0,0.0,0.0,0.0,0.48545,0.135686,0.0
1,1.0,1.0,12.0,10.0,9.0,8.0,8.0,6.0,189.471852,31.558679,15.718927,1.752501,0.0,0.0,0.0,0.0,0.491235,0.119775,1.0
-1,1.0,1.0,17.0,17.0,17.0,16.0,12.0,8.0,31.075926,17.076411,4.842704,1.531685,0.213312,0.017689,0.002081,0.0,0.535149,0.092609,0.0
-1,1.0,1.0,50.0,49.0,49.0,46.0,41.0,29.0,62.496595,32.082323,10.936554,1.937493,0.085661,0.0,0.0,0.0,0.545114,0.084103,0.0
-1,1.0,1.0,20.0,20.0,19.0,19.0,13.0,13.0,174.357817,12.881974,7.297039,2.112916,0.051882,0.007121,0.004069,0.004069,0.482279,0.087487,0.0
1,1.0,0.0,53.0,51.0,50.0,48.0,46.0,38.0,11.056479,5.225312,1.043505,0.084103,0.0,0.0,0.0,0.0,0.544021,0.10435,0.0
1,1.0,1.0,12.0,12.0,10.0,9.0,7.0,6.0,243.066702,26.650463,13.732893,0.099581,0.002075,0.001037,0.0,0.0,0.553246,0.084022,1.0
1,1.0,1.0,70.0,70.0,70.0,67.0,64.0,53.0,19.51811,8.967155,1.491181,0.16826,0.0,0.0,0.0,0.0,0.530772,0.091076,0.0
1,1.0,1.0,10.0,10.0,10.0,10.0,8.0,5.0,46.834688,14.499263,1.650394,0.011712,0.001952,0.001952,0.001952,0.001952,0.540532,0.096623,0.0
1,1.0,1.0,29.0,25.0,23.0,19.0,16.0,10.0,38.923403,16.8311,4.729195,1.388388,0.223134,0.028925,0.003099,0.002066,0.508813,0.104336,0.0
-1,1.0,1.0,16.0,15.0,14.0,13.0,11.0,9.0,46.8325,21.635597,2.999985,0.506774,0.124958,0.046611,0.000992,0.000992,0.57876,0.101157,1.0
1,1.0,1.0,137.0,117.0,107.0,94.0,82.0,54.0,57.818781,17.03802,8.985278,4.493409,2.128214,0.94023,0.655545,0.39702,0.535003,0.124646,0.0
